TimeOfDay	Time	EMG	Ground	ECG
15:42:49.507	0.0708	0	0	0
15:42:49.508	0.071	0	0	0
15:42:49.508	0.0712	0	0	0
15:42:49.508	0.0714	0	0	0
15:42:49.508	0.0716	0	0	0
15:42:49.508	0.0718	0	0	0
15:42:49.509	0.072	0	0	0
15:42:49.509	0.0722	0	0	0
15:42:49.509	0.0724	0	0	0
15:42:49.509	0.0726	0	0	0
15:42:49.509	0.0728	0	0	0
15:42:49.510	0.073	0	0	0
15:42:49.510	0.0732	0	0	0
15:42:49.510	0.0734	0	0	0
15:42:49.510	0.0736	0	0	0
15:42:49.510	0.0738	0	0	0
15:42:49.511	0.074	0	0	0
15:42:49.511	0.0742	0	0	0
15:42:49.511	0.0744	0	0	0
15:42:49.511	0.0746	0	0	0
15:42:49.511	0.0748	0	0	0
15:42:49.512	0.075	0	0	0
15:42:49.512	0.0752	0	0	0
15:42:49.512	0.0754	0	0	0
15:42:49.512	0.0756	0	0	0
15:42:49.512	0.0758	0	0	0
15:42:49.513	0.076	0	0	0
15:42:49.513	0.0762	0	0	0
15:42:49.513	0.0764	0	0	0
15:42:49.513	0.0766	0	0	0
15:42:49.513	0.0768	0	0	0
15:42:49.514	0.077	0	0	0
15:42:49.514	0.0772	0	0	0
15:42:49.514	0.0774	0	0	0
15:42:49.514	0.0776	0	0	0
15:42:49.514	0.0778	0	0	0
15:42:49.515	0.078	0	0	0
15:42:49.515	0.0782	0	0	0
15:42:49.515	0.0784	0	0	0
15:42:49.515	0.0786	0	0	0
15:42:49.515	0.0788	0	0	0
15:42:49.516	0.079	0	0	0
15:42:49.516	0.0792	0	0	0
15:42:49.516	0.0794	0	0	0
15:42:49.516	0.0796	0	0	0
15:42:49.516	0.0798	0	0	0
15:42:49.517	0.08	0	0	0
15:42:49.517	0.0802	0	0	0
15:42:49.517	0.0804	0	0	0
15:42:49.517	0.0806	0	0	0
15:42:49.517	0.0808	0	0	0
15:42:49.518	0.081	0	0	0
15:42:49.518	0.0812	0	0	0
15:42:49.518	0.0814	0	0	0
15:42:49.518	0.0816	0	0	0
15:42:49.518	0.0818	0	0	0
15:42:49.519	0.082	0	0	0
15:42:49.519	0.0822	0	0	0
15:42:49.519	0.0824	0	0	0
15:42:49.519	0.0826	0	0	0
15:42:49.519	0.0828	0	0	0
15:42:49.520	0.083	0	0	0
15:42:49.520	0.0832	0	0	0
15:42:49.520	0.0834	0	0	0
15:42:49.520	0.0836	0	0	0
15:42:49.520	0.0838	0	0	0
15:42:49.521	0.084	0	0	0
15:42:49.521	0.0842	0	0	0
15:42:49.521	0.0844	0	0	0
15:42:49.521	0.0846	0	0	0
15:42:49.521	0.0848	0	0	0
15:42:49.522	0.085	0	0	0
15:42:49.522	0.0852	0	0	0
15:42:49.522	0.0854	0	0	0
15:42:49.522	0.0856	0	0	0
15:42:49.522	0.0858	0	0	0
15:42:49.523	0.086	0	0	0
15:42:49.523	0.0862	0	0	0
15:42:49.523	0.0864	0	0	0
15:42:49.523	0.0866	0	0	0
15:42:49.523	0.0868	0	0	0
15:42:49.524	0.087	0	0	0
15:42:49.524	0.0872	0	0	0
15:42:49.524	0.0874	0	0	0
15:42:49.524	0.0876	0	0	0
15:42:49.524	0.0878	0	0	0
15:42:49.525	0.088	0	0	0
15:42:49.525	0.0882	0	0	0
15:42:49.525	0.0884	0	0	0
15:42:49.525	0.0886	0	0	0
15:42:49.525	0.0888	0	0	0
15:42:49.526	0.089	0	0	0
15:42:49.526	0.0892	0	0	0
15:42:49.526	0.0894	0	0	0
15:42:49.526	0.0896	0	0	0
15:42:49.526	0.0898	0	0	0
15:42:49.527	0.09	0	0	0
15:42:49.527	0.0902	0	0	0
15:42:49.527	0.0904	0	0	0
15:42:49.527	0.0906	0	0	0
15:42:49.527	0.0908	0	0	0
15:42:49.528	0.091	0	0	0
15:42:49.528	0.0912	0	0	0
15:42:49.528	0.0914	0	0	0
15:42:49.528	0.0916	0	0	0
15:42:49.528	0.0918	0	0	0
15:42:49.529	0.092	0	0	0
15:42:49.529	0.0922	0	0	0
15:42:49.529	0.0924	0	0	0
15:42:49.529	0.0926	0	0	0
15:42:49.529	0.0928	0	0	0
15:42:49.530	0.093	0	0	0
15:42:49.530	0.0932	0	0	0
15:42:49.530	0.0934	0	0	0
15:42:49.530	0.0936	0	0	0
15:42:49.530	0.0938	0	0	0
15:42:49.531	0.094	0	0	0
15:42:49.531	0.0942	0	0	0
15:42:49.531	0.0944	0	0	0
15:42:49.531	0.0946	0	0	0
15:42:49.531	0.0948	0	0	0
15:42:49.532	0.095	0	0	0
15:42:49.532	0.0952	0	0	0
15:42:49.532	0.0954	0	0	0
15:42:49.532	0.0956	0	0	0
15:42:49.532	0.0958	0	0	0
