TimeOfDay	Time	EMG	Ground	ECG
15:41:55.608	0.0402	0	0	0
15:41:55.608	0.0404	0	0	0
15:41:55.608	0.0406	0	0	0
15:41:55.608	0.0408	0	0	0
15:41:55.609	0.041	0	0	0
15:41:55.609	0.0412	0	0	0
15:41:55.609	0.0414	0	0	0
15:41:55.609	0.0416	0	0	0
15:41:55.609	0.0418	0	0	0
15:41:55.610	0.042	0	0	0
15:41:55.610	0.0422	0	0	0
15:41:55.610	0.0424	0	0	0
15:41:55.610	0.0426	0	0	0
15:41:55.610	0.0428	0	0	0
15:41:55.611	0.043	0	0	0
15:41:55.611	0.0432	0	0	0
15:41:55.611	0.0434	0	0	0
15:41:55.611	0.0436	0	0	0
15:41:55.611	0.0438	0	0	0
15:41:55.612	0.044	0	0	0
15:41:55.612	0.0442	0	0	0
15:41:55.612	0.0444	0	0	0
15:41:55.612	0.0446	0	0	0
15:41:55.612	0.0448	0	0	0
15:41:55.613	0.045	0	0	0
15:41:55.613	0.0452	0	0	0
15:41:55.613	0.0454	0	0	0
15:41:55.613	0.0456	0	0	0
15:41:55.613	0.0458	0	0	0
15:41:55.614	0.046	0	0	0
15:41:55.614	0.0462	0	0	0
15:41:55.614	0.0464	0	0	0
15:41:55.614	0.0466	0	0	0
15:41:55.614	0.0468	0	0	0
15:41:55.615	0.047	0	0	0
15:41:55.615	0.0472	0	0	0
15:41:55.615	0.0474	0	0	0
15:41:55.615	0.0476	0	0	0
15:41:55.615	0.0478	0	0	0
15:41:55.616	0.048	0	0	0
15:41:55.616	0.0482	0	0	0
15:41:55.616	0.0484	0	0	0
15:41:55.616	0.0486	0	0	0
15:41:55.616	0.0488	0	0	0
15:41:55.617	0.049	0	0	0
15:41:55.617	0.0492	0	0	0
15:41:55.617	0.0494	0	0	0
15:41:55.617	0.0496	0	0	0
15:41:55.617	0.0498	0	0	0
15:41:55.618	0.05	0	0	0
15:41:55.618	0.0502	0	0	0
15:41:55.618	0.0504	0	0	0
15:41:55.618	0.0506	0	0	0
15:41:55.618	0.0508	0	0	0
15:41:55.619	0.051	0	0	0
15:41:55.619	0.0512	0	0	0
15:41:55.619	0.0514	0	0	0
15:41:55.619	0.0516	0	0	0
15:41:55.619	0.0518	0	0	0
15:41:55.620	0.052	0	0	0
15:41:55.620	0.0522	0	0	0
15:41:55.620	0.0524	0	0	0
15:41:55.620	0.0526	0	0	0
15:41:55.620	0.0528	0	0	0
15:41:55.621	0.053	0	0	0
15:41:55.621	0.0532	0	0	0
15:41:55.621	0.0534	0	0	0
15:41:55.621	0.0536	0	0	0
15:41:55.621	0.0538	0	0	0
15:41:55.622	0.054	0	0	0
15:41:55.622	0.0542	0	0	0
15:41:55.622	0.0544	0	0	0
15:41:55.622	0.0546	0	0	0
15:41:55.622	0.0548	0	0	0
15:41:55.623	0.055	0	0	0
15:41:55.623	0.0552	0	0	0
15:41:55.623	0.0554	0	0	0
15:41:55.623	0.0556	0	0	0
15:41:55.623	0.0558	0	0	0
15:41:55.624	0.056	0	0	0
15:41:55.624	0.0562	0	0	0
15:41:55.624	0.0564	0	0	0
15:41:55.624	0.0566	0	0	0
15:41:55.624	0.0568	0	0	0
15:41:55.625	0.057	0	0	0
15:41:55.625	0.0572	0	0	0
15:41:55.625	0.0574	0	0	0
15:41:55.625	0.0576	0	0	0
15:41:55.625	0.0578	0	0	0
15:41:55.626	0.058	0	0	0
15:41:55.626	0.0582	0	0	0
15:41:55.626	0.0584	0	0	0
15:41:55.626	0.0586	0	0	0
15:41:55.626	0.0588	0	0	0
15:41:55.627	0.059	0	0	0
15:41:55.627	0.0592	0	0	0
15:41:55.627	0.0594	0	0	0
15:41:55.627	0.0596	0	0	0
15:41:55.627	0.0598	0	0	0
15:41:55.628	0.06	0	0	0
15:41:55.628	0.0602	0	0	0
15:41:55.628	0.0604	0	0	0
15:41:55.628	0.0606	0	0	0
15:41:55.628	0.0608	0	0	0
15:41:55.629	0.061	0	0	0
15:41:55.629	0.0612	0	0	0
15:41:55.629	0.0614	0	0	0
15:41:55.629	0.0616	0	0	0
15:41:55.629	0.0618	0	0	0
15:41:55.630	0.062	0	0	0
15:41:55.630	0.0622	0	0	0
15:41:55.630	0.0624	0	0	0
15:41:55.630	0.0626	0	0	0
15:41:55.630	0.0628	0	0	0
15:41:55.631	0.063	0	0	0
15:41:55.631	0.0632	0	0	0
15:41:55.631	0.0634	0	0	0
15:41:55.631	0.0636	0	0	0
15:41:55.631	0.0638	0	0	0
15:41:55.632	0.064	0	0	0
15:41:55.632	0.0642	0	0	0
15:41:55.632	0.0644	0	0	0
15:41:55.632	0.0646	0	0	0
15:41:55.632	0.0648	0	0	0
15:41:55.633	0.065	0	0	0
15:41:55.633	0.0652	0	0	0
15:41:55.633	0.0654	0	0	0
15:41:55.633	0.0656	0	0	0
15:41:55.633	0.0658	0	0	0
15:41:55.634	0.066	0	0	0
15:41:55.634	0.0662	0	0	0
15:41:55.634	0.0664	0	0	0
15:41:55.634	0.0666	0	0	0
15:41:55.634	0.0668	0	0	0
15:41:55.635	0.067	0	0	0
15:41:55.635	0.0672	0	0	0
15:41:55.635	0.0674	0	0	0
15:41:55.635	0.0676	0	0	0
15:41:55.635	0.0678	0	0	0
15:41:55.636	0.068	0	0	0
15:41:55.636	0.0682	0	0	0
15:41:55.636	0.0684	0	0	0
15:41:55.636	0.0686	0	0	0
15:41:55.636	0.0688	0	0	0
15:41:55.637	0.069	0	0	0
15:41:55.637	0.0692	0	0	0
15:41:55.637	0.0694	0	0	0
15:41:55.637	0.0696	0	0	0
15:41:55.637	0.0698	0	0	0
15:41:55.638	0.07	0	0	0
15:41:55.638	0.0702	0	0	0
15:41:55.638	0.0704	0	0	0
15:41:55.638	0.0706	0	0	0
15:41:55.638	0.0708	0	0	0
15:41:55.639	0.071	0	0	0
15:41:55.639	0.0712	0	0	0
15:41:55.639	0.0714	0	0	0
15:41:55.639	0.0716	0	0	0
15:41:55.639	0.0718	0	0	0
15:41:55.640	0.072	0	0	0
15:41:55.640	0.0722	0	0	0
15:41:55.640	0.0724	0	0	0
15:41:55.640	0.0726	0	0	0
15:41:55.640	0.0728	0	0	0
15:41:55.641	0.073	0	0	0
15:41:55.641	0.0732	0	0	0
15:41:55.641	0.0734	0	0	0
15:41:55.641	0.0736	0	0	0
15:41:55.641	0.0738	0	0	0
15:41:55.642	0.074	0	0	0
15:41:55.642	0.0742	0	0	0
15:41:55.642	0.0744	0	0	0
15:41:55.642	0.0746	0	0	0
15:41:55.642	0.0748	0	0	0
15:41:55.643	0.075	0	0	0
15:41:55.643	0.0752	0	0	0
15:41:55.643	0.0754	0	0	0
15:41:55.643	0.0756	0	0	0
15:41:55.643	0.0758	0	0	0
15:41:55.644	0.076	0	0	0
15:41:55.644	0.0762	0	0	0
15:41:55.644	0.0764	0	0	0
15:41:55.644	0.0766	0	0	0
15:41:55.644	0.0768	0	0	0
15:41:55.645	0.077	0	0	0
15:41:55.645	0.0772	0	0	0
15:41:55.645	0.0774	0	0	0
15:41:55.645	0.0776	0	0	0
15:41:55.645	0.0778	0	0	0
15:41:55.646	0.078	0	0	0
15:41:55.646	0.0782	0	0	0
15:41:55.646	0.0784	0	0	0
15:41:55.646	0.0786	0	0	0
15:41:55.646	0.0788	0	0	0
15:41:55.647	0.079	0	0	0
15:41:55.647	0.0792	0	0	0
15:41:55.647	0.0794	0	0	0
15:41:55.647	0.0796	0	0	0
15:41:55.647	0.0798	0	0	0
15:41:55.648	0.08	0	0	0
15:41:55.648	0.0802	0	0	0
15:41:55.648	0.0804	0	0	0
15:41:55.648	0.0806	0	0	0
15:41:55.648	0.0808	0	0	0
15:41:55.649	0.081	0	0	0
15:41:55.649	0.0812	0	0	0
